column_1,column_2,cosine_similarity,euclidean_distance,distance_anns
AACT_EAA06_data.csv:LAST UPDATE,AACT_ALI02_data.csv:LAST UPDATE,0.9994223552345383,0.03398955020681183,0.001156807
AACT_ALI02_data.csv:LAST UPDATE,AACT_EAA06_data.csv:LAST UPDATE,0.9994223552345383,0.03398955020681183,0.5959418
AACT_ALI01_data.csv:itm_newa,AACT_ALI02_data.csv:itm_newa,0.9992915332198287,0.0376421790290121,0.5087379
AACT_ALI02_data.csv:itm_newa,AACT_ALI01_data.csv:itm_newa,0.9992915332198287,0.0376421790290121,0.7362071
AACT_ALI01_data.csv:OBS_FLAG,AACT_ALI02_data.csv:OBS_FLAG,0.9992074690349292,0.03981283756919441,0.47409773
AACT_ALI02_data.csv:OBS_FLAG,AACT_ALI01_data.csv:OBS_FLAG,0.9992074690349292,0.03981283756919441,0.7431061
AACT_EAA06_data.csv:freq,AACT_ALI02_data.csv:freq,0.9987512872876785,0.04997424766837488,0.0038385391
AACT_ALI02_data.csv:freq,AACT_EAA06_data.csv:freq,0.9987512872876785,0.04997424766837488,0.54043853
AACT_ALI01_data.csv:DATAFLOW,AACT_ALI02_data.csv:DATAFLOW,0.9987227514533776,0.05054203400243988,2.3841858e-07
AACT_ALI02_data.csv:DATAFLOW,AACT_ALI01_data.csv:DATAFLOW,0.9987227514533776,0.05054203400243988,0.70130694
AACT_ALI01_data.csv:freq,AACT_EAA06_data.csv:freq,0.9980800867690834,0.061966333534276836,0.5410392
AACT_EAA06_data.csv:freq,AACT_ALI01_data.csv:freq,0.9980800867690834,0.061966333534276836,0.6670283
ACF_D_EQ1_data.csv:freq,AACT_EAA06_data.csv:freq,0.9978648594130249,0.06534738941798554,0.53712046
AACT_EAA06_data.csv:freq,ACF_D_EQ1_data.csv:freq,0.9978648594130249,0.06534738941798554,0.57807326
ACF_D_EQ1_data.csv:freq,AACT_ALI02_data.csv:freq,0.997534830993647,0.07021636840211176,0.004930258
AACT_ALI02_data.csv:freq,ACF_D_EQ1_data.csv:freq,0.997534830993647,0.07021636840211176,0.5796474
AACT_ALI01_data.csv:freq,AACT_ALI02_data.csv:freq,0.9974742441267579,0.07107398975995834,0.005050659
AACT_ALI02_data.csv:freq,AACT_ALI01_data.csv:freq,0.9974742441267579,0.07107398975995834,0.67011535
AACT_ALI01_data.csv:freq,ACF_D_EQ1_data.csv:freq,0.9973584972101275,0.07268429001793751,0.57754576
ACF_D_EQ1_data.csv:freq,AACT_ALI01_data.csv:freq,0.9973584972101275,0.07268429001793751,0.6671318
AACT_EAA06_data.csv:TIME_PERIOD,AACT_ALI02_data.csv:TIME_PERIOD,0.9973419369669345,0.07291176932710652,0.5639236
AACT_ALI02_data.csv:TIME_PERIOD,AACT_EAA06_data.csv:TIME_PERIOD,0.9973419369669345,0.07291176932710652,0.6415819
AACT_ALI01_data.csv:OBS_VALUE,AACT_EAA06_data.csv:OBS_VALUE,0.9960737849596627,0.08861393850883877,0.6208217
AACT_EAA06_data.csv:OBS_VALUE,AACT_ALI01_data.csv:OBS_VALUE,0.9960737849596627,0.08861393850883877,0.7451432
AACT_ALI01_data.csv:geo,AACT_ALI02_data.csv:geo,0.996050635585744,0.08887479587257269,0.61870074
AACT_ALI02_data.csv:geo,AACT_ALI01_data.csv:geo,0.996050635585744,0.08887479587257269,0.8170595
